"id","dateCreated","dateModified","createdBy","createdByName","modifiedBy","modifiedByName","c_tipo","c_Inmediato","c_Entre1y3dias","c_Menosde24horas","c_otro","c_instrumento","c_1semana","c_t__1semana"
"195a82fb-da56-40b8-9909-f7ced672c718",2023-01-30 15:35:45.000,2023-01-30 15:35:45.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"",true,false,false,"","3635b1bd-33fe-41a8-a2a5-f7e23f0d2d9a",,false
"221f04c2-33d0-4b9b-b8a5-0e75a5b320a4",2023-01-30 17:09:59.000,2023-01-30 17:09:59.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"",false,false,false,"",d01e8688-bc27-4a65-8c14-1d315d4bca8a,,false
"24215beb-c1d2-4e30-a016-47b1dc14e08a",2023-01-30 16:28:09.000,2023-01-30 16:28:09.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Agricultores,false,true,false,"",f578e136-b8ee-467d-a17f-925cb837b41c,,false
"258a8d8a-96df-47e5-b5ad-de123a03bfe2",2023-01-30 16:42:03.000,2023-01-30 16:42:03.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"",false,true,false,"",d949c577-60e0-4922-a86b-a6e0f845ac3f,,false
"2b4e6934-436f-47b4-8840-d6dc33a42b38",2023-01-30 17:09:20.000,2023-01-30 17:09:20.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Agricultores,false,false,true,"",af845f68-4c01-4bd9-bc96-0e77238ba65b,,false
"2c44db67-5f4e-4d7f-b316-71f640bc1ec4",2023-01-30 17:09:58.000,2023-01-30 17:09:58.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Transportadores,false,true,false,"",d01e8688-bc27-4a65-8c14-1d315d4bca8a,,false
"2e5d0161-0e9f-4b6f-8341-10a50954c6d5",2023-01-27 13:22:46.000,2023-01-27 13:22:46.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"",false,false,false,"","2aa113cf-dfa1-4c9b-9273-c8ab6b85b898",,false
"2fcfa519-4313-4d2a-9483-17b63c43ca1b",2023-01-30 17:09:22.000,2023-01-30 17:09:22.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"",false,false,false,"",af845f68-4c01-4bd9-bc96-0e77238ba65b,,false
"441a8424-d3f0-4912-87f7-da054189d23d",2023-01-18 16:04:24.000,2023-01-18 16:04:24.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Centro de acopio,false,false,true,"","4a3a975a-4c21-4042-8f3a-7b513ecb3c95",,false
"5c167bd2-9ce5-4235-b7e2-7bdf4d5c5024",2023-01-27 14:34:44.000,2023-01-27 14:34:44.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Agricultores,true,false,false,"","1fc369e4-18c2-4ee6-8709-b82d7bad26cc",,false
"6189a5c1-0c68-498b-b681-0476a83ce6c1",2023-01-18 15:58:43.000,2023-01-18 15:58:43.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Centro de acopio,false,false,true,"","323f8893-2fa7-4ced-928d-4fbefce45079",,false
"75b4843e-f812-466a-89a6-1c4d8ae05b10",2023-01-26 01:06:40.000,2023-01-26 01:06:40.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Agricultores,true,false,false,"","24879437-4c80-4e77-88be-14f5e541effa",,false
abb8fa84-5d83-4da8-bb74-b7ffef65eb62,2023-01-26 21:55:46.000,2023-01-26 21:55:46.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Agricultores,false,false,true,"","896a27d0-4e61-4f82-af8f-8c4d567e5923",,false
b08e5cf1-8652-4592-a1ea-5c8bb238821a,2023-01-25 23:25:39.000,2023-01-25 23:25:39.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"",true,false,false,"12 h",ed4f10e4-7fd1-445f-a6bd-c6441d86005f,,false
bc177384-b9b9-42b5-80c5-794b9272351c,2023-01-30 16:28:10.000,2023-01-30 16:28:10.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Agroindustria,false,false,true,"",f578e136-b8ee-467d-a17f-925cb837b41c,,false
cae5f2e4-48ef-46d0-ad32-afc03065e1bb,2023-01-30 16:42:02.000,2023-01-30 16:42:02.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"",false,false,true,"",d949c577-60e0-4922-a86b-a6e0f845ac3f,,false
d6df95c3-00d9-4fc6-92c1-bb6718c8db12,2023-01-30 17:09:57.000,2023-01-30 17:09:57.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Agricultores,false,false,true,"",d01e8688-bc27-4a65-8c14-1d315d4bca8a,,false
ddd5650f-8dbe-48f2-ab8f-0bc20a252da8,2023-01-23 20:05:18.000,2023-01-23 20:05:18.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Agricultores,true,false,false,"",eb77e6d7-d38a-4030-a52c-ccd5e1a469f1,,false
e0705090-22df-4982-8c36-52dda302c0d0,2023-01-30 17:09:21.000,2023-01-30 17:09:21.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Transportadores,false,true,false,"",af845f68-4c01-4bd9-bc96-0e77238ba65b,,false
f575f7b4-47af-483e-ab25-6164a8b4f455,2023-01-26 01:37:01.000,2023-01-26 01:37:01.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Agricultores,true,false,true,"",c98c4ef0-3b9d-45fb-95d6-bc580dff307d,,false
fd99f024-fdac-4d80-9814-7d3e63f6b5ba,2023-01-23 20:08:03.000,2023-01-23 20:08:03.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,Agricultores,true,false,false,"","566cb92e-d546-4f48-a99f-c047dbd5fbec",,false
